Group "TDC resolution" theta_0 theta_1
H1 1e-09 3.8866075574928887e-08 1.1636536367310213
F2 1e-09 -1.8057195425223503e-08 1.1265270048940872
C1 1e-09 -1.800954159045378e-08 1.0850520771681331
M2 1e-09 -4.6505176694424485e-08 0.9101296726366294
A1 1e-09 -5.35925056868725e-08 0.9333249578337492
D1 1e-09 -4.0204427971772704e-08 1.0461194409711405
G1 1e-09 -5.248377592498125e-08 1.0639473169111804
A2 1e-09 -5.2611119060652696e-08 0.897628082746783
I2 1e-09 1.4258856622348156e-08 1.0880589587812763
E1 1e-09 8.043988495589023e-08 1.0665094915344988
M1 1e-09 -7.77195583368771e-08 1.0257198426241165
L2 1e-09 3.696997502107257e-08 1.1836572448034364
G2 1e-09 -7.84431122032115e-08 0.9871807566673176
D2 1e-09 3.42163991739864e-08 1.0015814139452932
H2 1e-09 -7.257392097955157e-08 0.8545156262463753
E2 1e-09 -5.236876452834887e-09 1.0448001385207346
B1 1e-09 -7.899729710728114e-08 1.0651113363011997
F1 1e-09 -2.6782871918016007e-08 0.8113434514887007
L1 1e-09 -1.7847896669328726e-09 0.9150111593913293
I1 1e-09 9.978629296238959e-08 0.9872362101545976
B2 1e-09 1.669394014131102e-08 0.9317253218566977
C2 1e-09 -2.4224441555330342e-08 0.8101985762696973
