Group "TDC resolution" theta_0 theta_1
H1 1e-09 8005824.494196789 0.8120247062307563
F2 1e-09 8970436.772224648 0.8962279566368243
C1 1e-09 1269860.9008374324 0.8245147344935754
D1 1e-09 7890700.587551523 0.8283683060585771
G1 1e-09 480717.6456293908 1.127065447717481
A2 1e-09 7176296.539440186 0.8945186674352177
I2 1e-09 6263686.68422234 0.8013064308242149
E1 1e-09 4603113.884466812 1.1001481178081467
G2 1e-09 9625037.091246307 0.8621215535842301
D2 1e-09 8029321.972851818 1.1670461109982666
H2 1e-09 9509573.817842748 0.9323349346789582
E2 1e-09 6871679.695333863 1.1630543291756492
B1 1e-09 7804345.4930684585 1.127435415068278
F1 1e-09 4987730.860692027 1.1776168188263076
I1 1e-09 7256548.250540786 0.8400129148148898
B2 1e-09 8356535.11536447 0.8564585341696322
C2 1e-09 3941591.765826012 0.9169796660864701
