Group "TDC resolution" theta_0 theta_1
M1 1e-09 2.2570653859065986e-08 0.9797846222324276
B2 1e-09 -7.782111453468993e-08 0.9649427311884464
H2 1e-09 -5.1059233460545484e-08 1.1455813852564039
G1 1e-09 -6.576162605157123e-08 1.043211695178908
A2 1e-09 -1.777115789758932e-08 1.1580115875704062
N1 1e-09 4.721097518214411e-08 1.1584552755481001
D1 1e-09 -3.544560470287452e-08 0.9796008143697936
E2 1e-09 9.735311464719035e-08 1.0877846581822146
I1 1e-09 8.47148580710868e-09 1.1374527387868905
C1 1e-09 -6.90119501248728e-08 0.9202297940000068
L2 1e-09 -1.685855284010109e-08 0.8245702282552766
T2 1e-09 -7.009670948873068e-08 1.1168734044298245
G2 1e-09 -1.3042523227073846e-08 1.116802800102777
H1 1e-09 -5.472650422511127e-08 0.9995726226803269
B1 1e-09 -8.768473124063074e-08 1.0785842137364452
M2 1e-09 5.229537196242848e-08 1.0907985912059686
D2 1e-09 2.2666998859708762e-08 1.1108750836341452
N2 1e-09 -8.05776369666415e-08 1.0412891601783674
A1 1e-09 1.3060508207255677e-08 0.847790288071913
E1 1e-09 5.787666630630222e-09 0.856219193372
L1 1e-09 6.066219239622774e-08 1.1583462399692837
C2 1e-09 -8.939214802472245e-09 0.912728365121531
I2 1e-09 -3.7084520504946525e-08 1.1667478188637184
T1 1e-09 -5.922481537907358e-08 1.0190683996700498
