Group "TDC resolution" theta_0 theta_1
M1 1e-09 -4.1927184915590816e-08 0.8825059795854017
B2 1e-09 6.841830505572507e-08 0.9607105188378653
H2 1e-09 7.485411532740895e-08 1.1211891120981952
G1 1e-09 9.268279675994069e-08 1.1723132568371408
A2 1e-09 9.404091971482689e-08 0.8196403023694674
D1 1e-09 -8.155211742331467e-08 1.0054274475117289
E2 1e-09 3.290167563537037e-09 0.8083309280006175
F2 1e-09 5.3428664963915944e-08 1.0229983479707243
I1 1e-09 4.445549467910316e-08 1.0741958848251332
Test1 1e-09 4.6027806893513726e-08 1.1453030130587396
C1 1e-09 -9.905471485697736e-08 0.8897062745283159
L2 1e-09 3.2160716822187983e-08 0.8409574616594299
G2 1e-09 -2.691250714706748e-08 0.9432405048284069
H1 1e-09 -7.628816077805091e-08 0.9293987582374107
B1 1e-09 -2.2347161863552588e-08 1.1412971655534518
M2 1e-09 4.082427969961809e-08 0.8793504228113619
D2 1e-09 8.313516547186678e-08 1.0633952440038528
A1 1e-09 -7.906002093202347e-08 0.8544852590851157
E1 1e-09 4.809477161338383e-08 0.9337066140542154
Test2 1e-09 4.461327862863922e-08 0.936488901944695
L1 1e-09 -6.407751836524376e-08 1.1295487804830924
C2 1e-09 8.534766450434351e-08 0.8653650987440193
I2 1e-09 3.620756976163064e-08 1.122696799014025
F1 1e-09 7.080841703624646e-08 0.9779330040966636
