Group "TDC resolution" theta_0 theta_1
M1 2e-09 8.0154070368705e-08 1.1115718286638923
B2 2e-09 -6.762179893307053e-08 0.9686338413017336
H2 2e-09 -6.284354864639185e-08 0.8544079584952973
G1 2e-09 -7.740130465974455e-08 0.9721736430708217
A2 2e-09 -2.658473244668746e-08 0.9660484868366522
N1 2e-09 9.519674155422161e-08 0.9106900490708192
D1 2e-09 4.2818080888316015e-08 1.0065800366792335
E2 2e-09 -1.3267078608212233e-08 1.1732702510452875
I1 2e-09 -7.949022769121945e-08 1.1225582738885687
C1 2e-09 8.663515758810696e-08 1.136332987988379
L2 2e-09 9.330186948892928e-08 1.067298623489501
T2 2e-09 7.559899373164701e-08 0.988206036227585
G2 2e-09 2.4949474265842263e-08 0.8271179101397267
H1 2e-09 -1.59837160843122e-08 0.9210689530843068
B1 2e-09 -8.317365700961041e-08 0.8255022498811424
M2 2e-09 -2.2210924744083638e-08 1.1133508753610977
D2 2e-09 -7.58794953521909e-08 0.851093465799778
N2 2e-09 4.45383684347591e-08 1.117417492027307
A1 2e-09 4.4548902123963086e-08 0.837859072577959
E1 2e-09 -7.491019008604584e-08 1.0955936279994478
L1 2e-09 9.092548471234013e-08 0.8832053321519117
C2 2e-09 1.527704611763168e-08 1.0279467079169236
I2 2e-09 9.378570010192934e-08 0.9326789326811017
T1 2e-09 -1.6528771470864218e-08 1.0098171489281222
