Group "TDC resolution" theta_0 theta_1
M1 1e-09 9.781239324994447e-08 1.1056754234412147
B2 1e-09 -2.643744420814033e-08 0.8927833705450763
G1 1e-09 -4.81907786043539e-08 1.1875545874340396
A2 1e-09 -5.815063478563227e-08 1.0251011923362126
D1 1e-09 8.200651088976835e-08 0.8580705460703549
F2 1e-09 -5.8373687940419594e-08 1.0611681530144936
I1 1e-09 8.440804387055057e-08 1.1442942461621677
Test1 1e-09 4.5461612036863174e-08 0.8265737670001247
C1 1e-09 4.785511254802466e-08 1.119735672129475
L2 1e-09 9.220914068126339e-08 1.1278540174260376
G2 1e-09 1.8493998582866598e-08 0.9307390347407395
B1 1e-09 6.531553691541406e-08 0.9724732006850529
M2 1e-09 -2.8243849699187852e-08 0.8758406111800918
D2 1e-09 -8.960708000033985e-08 1.045572733312258
A1 1e-09 1.4295966650788033e-08 0.8590355419251854
Test2 1e-09 -2.8123746720434767e-09 0.8102846633376419
L1 1e-09 4.933758913157903e-08 0.8518960220143871
C2 1e-09 -9.975288651922675e-08 0.8583964424777673
I2 1e-09 -6.757515167724268e-08 1.1482791200973719
F1 1e-09 -3.582618279951582e-08 1.0516836965378145
