Group "TDC resolution" theta_0 theta_1
M1 1e-09 -8.107692038021473e-08 0.9085228717405252
B2 1e-09 9.263644565864386e-08 1.0704437428056188
H2 1e-09 -8.508971289216398e-08 1.1748511384993388
G1 1e-09 5.100083906732556e-08 1.033185113215132
A2 1e-09 -7.182595367260738e-08 1.066424744461206
D1 1e-09 3.1529317643242196e-08 0.9825036070238292
E2 1e-09 -3.248440479928722e-08 1.1983840099036283
F2 1e-09 -6.778577139797421e-08 1.134518911995835
C1 1e-09 -4.511881003715514e-08 1.0162973014054373
L2 1e-09 -2.7107023399211786e-08 1.1603693284676087
G2 1e-09 -6.390285384138746e-08 0.9995885319949773
H1 1e-09 7.027244857439402e-08 0.9627938442665601
B1 1e-09 -9.617923992784783e-08 0.9394883144256946
M2 1e-09 -6.833182557753665e-08 1.0181826336677826
D2 1e-09 -6.398416123863433e-08 1.0006311983294096
A1 1e-09 -3.040868310484778e-08 0.9215634167933284
E1 1e-09 9.153182702105868e-08 0.8677214745925809
L1 1e-09 -7.002100999394707e-08 1.137522962363458
C2 1e-09 -9.510131332362132e-08 1.0046920128290877
F1 1e-09 -8.090839386770378e-08 0.9341744203936954
