Group "TDC resolution" theta_0 theta_1
M1 1e-09 -3.171738626762321e-08 1.14159546685186
B2 1e-09 1.571805739636121e-08 0.8951422193964358
H2 1e-09 5.0044155539513216e-08 1.0234461154300294
G1 1e-09 8.540608748198635e-08 1.0824683131087258
A2 1e-09 -5.627887438147269e-08 1.1902880179735515
D1 1e-09 2.418380307149125e-08 0.8077947864188717
E2 1e-09 -5.6395273751455716e-08 1.0741711339887632
F2 1e-09 -1.4810132632613797e-08 1.178932915944601
I1 1e-09 -1.722155804154382e-08 1.10108625240967
C1 1e-09 5.3510039649326024e-08 0.8767097093739981
L2 1e-09 -3.106770118066663e-08 1.1431930956311351
G2 1e-09 -4.794169484999817e-08 1.0299983285119303
H1 1e-09 -2.8940261133615305e-09 0.9088082817018985
B1 1e-09 8.732016435030199e-08 0.9752845739093168
M2 1e-09 -5.8213274879511884e-08 0.8785227449348807
D2 1e-09 -3.766832022347944e-08 1.1074068848089693
A1 1e-09 6.501583381004191e-08 0.9125915890323206
E1 1e-09 6.35205229453121e-08 1.152604187634152
L1 1e-09 -7.64087642008007e-09 0.9613312207795641
C2 1e-09 6.995461565560374e-09 1.155966516259895
I2 1e-09 -6.071159951916137e-08 0.8019385879244153
F1 1e-09 -4.87770695988384e-08 1.1981052137418278
