Group "TDC resolution" theta_0 theta_1
M1 5e-09 -9.924480662240388e-08 1.0559626464539364
B2 5e-09 -6.641414027209525e-08 1.021839248440344
H2 5e-09 -5.6907855401040176e-08 1.0512523862440577
G1 5e-09 -8.13483523340387e-08 0.8085227241814755
A2 5e-09 -2.663282019727153e-08 1.0561660550525396
N1 5e-09 -8.829738499040929e-08 1.16003824443146
D1 5e-09 8.371868531094249e-08 1.1812710017987753
E2 5e-09 5.135096810728401e-08 0.8493052999937791
I1 5e-09 -5.564943645360152e-08 0.981316870662997
C1 5e-09 7.02450336126158e-08 0.8726014841752018
L2 5e-09 -1.3229454001231703e-08 0.9416681054916611
T2 5e-09 8.474699444136533e-08 0.9376397284429017
G2 5e-09 9.002610269762315e-08 0.9612446950984577
H1 5e-09 -6.29159905868415e-08 1.0887417798288102
B1 5e-09 1.9051364464045253e-08 0.8176858789404238
M2 5e-09 9.97567998955452e-08 1.1579493081163945
D2 5e-09 -7.766266826552867e-08 1.0255156687934797
N2 5e-09 -1.9232203896630133e-08 0.813653275414069
A1 5e-09 7.398599836700763e-08 1.0041489375913306
E1 5e-09 -6.039812420241243e-08 1.1589208878822264
L1 5e-09 7.72423758040229e-08 0.9307935066584209
C2 5e-09 -5.713182208858984e-08 1.151221249438422
I2 5e-09 1.3068271059176248e-08 0.9329036662316779
T1 5e-09 8.2468504126395e-08 0.9325001832519804
