Group "TDC resolution" theta_0 theta_1
M1 1e-09 5.769812941338425e-08 0.812704255582292
B2 1e-09 -3.6266234617392485e-08 1.1865896232992088
H2 1e-09 -6.052449225661622e-08 0.9772822889482035
G1 1e-09 2.450916024255688e-08 0.8007824124798846
A2 1e-09 2.301760062731332e-08 0.8894659509313256
N1 1e-09 2.1612714521101304e-08 1.0081261608767966
D1 1e-09 3.224492491582568e-08 0.9056532903344765
E2 1e-09 -7.810046748267973e-08 0.9992191265230564
I1 1e-09 7.74607878268183e-08 1.0318308211082254
C1 1e-09 -5.576360229265877e-08 1.0666873227493976
L2 1e-09 1.6590982664888075e-09 1.1775934378360147
T2 1e-09 -3.746411271209085e-08 0.8172800585366294
G2 1e-09 1.4450130352570829e-08 0.8776958498241617
H1 1e-09 -2.5604296041915965e-08 0.980827659321329
B1 1e-09 -3.81545618390752e-08 0.9000955216388292
M2 1e-09 -2.7794301689736226e-08 1.0091510233191907
D2 1e-09 6.494260069506518e-08 1.0818055085693206
N2 1e-09 -7.109944128875694e-08 1.153292170359918
A1 1e-09 -7.630251677986226e-08 0.8210682248734624
E1 1e-09 -2.1329756126781385e-08 0.9467230138466055
L1 1e-09 6.033174948244321e-08 1.1161647499648724
C2 1e-09 2.2426649861794816e-08 0.9289343539991183
I2 1e-09 -5.048403450322143e-08 0.9398418978652183
T1 1e-09 -9.738922388737344e-08 1.0562092400215781
