Group "TDC resolution" theta_0 theta_1
M1 1e-09 -5.7279352547273294e-08 1.105288190786243
B2 1e-09 -9.776767739790597e-08 1.1852413348180635
H2 1e-09 -8.72788604513758e-08 0.8868588555343212
G1 1e-09 -6.821026621663594e-08 0.9344820404202485
A2 1e-09 5.54325465543272e-08 1.1620710710691757
D1 1e-09 -8.124724818396947e-08 1.034248125875811
E2 1e-09 -2.857487987414577e-08 0.8049343714814794
F2 1e-09 3.904386756213557e-08 1.0722246965837328
I1 1e-09 9.342829628901256e-08 1.1712364936797401
Test1 1e-09 -3.36570997975139e-08 1.1257161281673802
C1 1e-09 9.65701730814569e-08 1.0903019234766849
L2 1e-09 8.317388758068096e-08 1.1749746409768562
G2 1e-09 -7.039327756625557e-08 1.012577662298938
H1 1e-09 6.599813567288117e-09 0.9581356543699416
B1 1e-09 2.9031609746130335e-08 1.1250854351213047
M2 1e-09 5.6386431011643965e-08 1.179271149622079
D2 1e-09 8.893072895711783e-08 0.9363587439249612
A1 1e-09 -5.340500110313992e-09 0.9541034534517421
E1 1e-09 3.736850186673857e-08 0.995298320519606
Test2 1e-09 5.349440855406205e-08 0.9865924583447531
L1 1e-09 3.179491878101472e-08 0.8089953668805142
C2 1e-09 9.40411131890338e-10 1.1381291458735978
I2 1e-09 9.152024711971584e-08 0.9335996566331654
F1 1e-09 5.140732701840391e-08 0.9655343391614387
