Group "TDC resolution" theta_0 theta_1
M1 1e-09 1.6715440140393682e-08 0.9867380342215024
B2 1e-09 5.9233189211500007e-08 0.8061522401037213
H2 1e-09 -1.9373799144641395e-08 1.0758060219575754
G1 1e-09 4.7406998150569756e-08 1.1667870404675
A2 1e-09 7.432325407384165e-08 1.051548301973253
D1 1e-09 9.576998752201094e-08 1.1706026332543433
E2 1e-09 -7.108686241388948e-08 1.1053508037242863
F2 1e-09 -8.985284241684037e-08 1.1076220984102236
C1 1e-09 -1.7165451296753973e-08 0.8230037988835992
L2 1e-09 -4.504548559960397e-08 1.0619667782726918
G2 1e-09 -4.5534149385664e-08 0.959833438286999
H1 1e-09 -2.917538820070897e-08 0.8444888970252389
B1 1e-09 1.5031232835289158e-08 1.0985471101514097
M2 1e-09 9.192333576070543e-08 1.0236204575676104
D2 1e-09 1.7798195662363384e-08 1.0418347457878967
A1 1e-09 -4.2856203252417835e-08 0.9432270490455349
E1 1e-09 -8.730561886625752e-09 1.0085764247355684
L1 1e-09 -1.8830607391640952e-08 0.9046257867248968
C2 1e-09 9.82106657800778e-08 0.9981065556066053
F1 1e-09 6.898042502582726e-08 1.0394873624329672
